Address,Postcode,Town/City,Property Type,Category,Block / Notes,Floor Area Sqm (EPC),Zoopla Low,Zoopla Central,Zoopla High,Moov Raw Central (M3),Moov Conservative Central,Target Ratio Min,Target Ratio Max,Moov/Zoopla Central Ratio,% Diff vs Zoopla,Row Status (PASS/CHECK),Base Â£/sqm,P25 Â£/sqm,Median Â£/sqm,Block Penalty,Small Unit Penalty,Confidence Penalty,CV Penalty,Confidence Score,Coefficient of Variation (CV),isExLocalAuthority,exLAScore,Comment,,#DIV/0!,0,22,83,#DIV/0!
"The Old School House, Llanrhaeadr",LL16 4NU,Llanrhaeadr,House,Rural / DeskFail,Address not resolved in Milestone 3 â€“ keep as deskReview test.,,,,,ERROR,,,,,,,,,,,,,,,,,,The remote server returned an error: (400) Bad Request.,,,,,,
"1 Chapel Row, Portnahaven, Isle of Islay",PA47 7SG,Portnahaven,House,Rural House (Low Data),"EPC present, but insufficient comps â†’ deskReview. Still useful as â€œsparse marketâ€ test.",,181000,226000,271000,DESK_REV,,0.8,0.95,0,-1,CHECK,,,,,,,,,,,,Prior flag: Only 2 valid comparable(s) found within 1 mile radius (minimum 3 required),,,,,,
"2 The Old Orchard, Bilsington",TN25 7BL,Bilsington,House,Rural House,"Low-turnover rural area. Should normally value, but with lower confidence.",,,,,ADDR_FAIL,,0.8,0.95,,,,,,,,,,,,,,,,,,,,,
"Firbank Cottage, Sedbergh",LA10 5EF,Sedbergh,House,Rural House,"Similar to above â€“ rural, thinner comps; focus on confidence + band width.",,446000,557000,669000,ERROR,,0.8,0.95,0,-1,CHECK,,,,,,,,,,,,The remote server returned an error: (400) Bad Request.,,,,,,
"14 Kingsway, Rugby",CV22 5NU,Rugby,House,Standard House,"Your best result; lots of comps, great CV. House logic should leave this almost unchanged.",,,,,DESK_REV,,0.85,0.95,,,,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"224 Woodhouse Lane, Wigan",WN6 7NF,Wigan,House,Standard House,Normal suburban house; high-data scenario; should be clean.,,192000,213000,234000,DESK_REV,,0.85,0.95,0.00,-100%,CHECK,,,,,,,,,,,,Prior flag: No valid comparables found within 1 mile radius,,,,,,
"55 Stannington Road, Sheffield",S6 5HF,Sheffield,House,Rural / Edge,In M3 this was â€œaddress not resolvedâ€ â†’ keep as an address-resolution / fail case.,,193000,203000,213000,ADDR_FAIL,,,,0,-1,,,,,,,,,,,,,,,,,,,
"33 Ninian Road, Cardiff",CF23 5EG,Cardiff,House,Urban House,"Cardiff suburb; decent comps, not ex-LA.",,554000,693000,831000,DESK_REV,,0.85,0.95,0,-1,CHECK,,,,,,,,,,,,Prior flag: Only 1 valid comparable(s) found within 1 mile radius (minimum 3 required),,,,,,
"Flat 12, Maydwell House, London",E14 7AP,London,Flat,Ex-LA Tower Flat,High-rise ex-LA in Canary Wharf area. Key calibration case. Should land well below Zoopla.,,245000,306000,367000,DESK_REV,,0.8,0.9,0,-1,CHECK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"Flat 75, Princess Court, Cornbrook Park Road, Manchester",M15 4FF,Manchester,Flat,Private City Flat,Manchester city BTL stock; not ex-LA. Should be conservative but close to Zoopla.,,119000,149000,179000,224380,143118,0.9,0.97,0,-1,CHECK,3324,3293,3398,28.0,0,8.0,0,65,0.13,True,3,,,,,,,
"27 Woodlands, Gosforth, Newcastle upon Tyne, NE3 4YN",NE3 4YN,Newcastle,House,Standard House,"Normal suburban house, good sanity check outside Midlands.",,529000,588000,647000,DESK_REV,,0.85,0.95,0,-1,CHECK,,,,,,,,,,,,Prior flag: No comparable sales data found for this postcode,,,,,,
"Flat A, 61 Hornsey Road, London",N7 6DG,London,Flat,Private City Flat (Large/Unusual),"Large flat where comps were thin. Should still be in private-flat band; penalties mainly from confidence/CV, not ex-LA.",,408000,510000,612000,ERROR,,0.9,0.97,0,-1,CHECK,,,,,,,,,,,,The remote server returned an error: (400) Bad Request.,,,,,,
"Flat 45 Sudbury House, 85 Wandsworth High Street, London",SW18 4LH,London,Flat,Ex-LA Tower Flat,"Core problem child â€“ 1960s tower, small units, ex-LA. After penalties, must come down hard vs Zoopla.",,216000,269000,323000,481750,308892,0.8,0.9,0,-1,CHECK,10249,10220,10318,25.0,10.0,5.0,0,70,0.02,True,3,,,,,,,
"41 Arthur Street, Belfast (Student Co-Living)",BT1 4GB,Belfast,Commercial / Not Resi,DeskFail / Commercial,NI + student co-living; should not produce a confident resi valuation. Use as â€œdeskReview / commercialâ€ test.,,N/A,N/A,N/A,ERROR,,,,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,The remote server returned an error: (400) Bad Request.,,,,,,
